epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9412,0.65372,1.66203,1.25462,1.16439,0,0.84748,0.71769,0.81811,0.61263,0.83222,0.718,0.81156,0.57301,0.84019,1.76516,1.40947,1.38333,0,0.000553886,0.000553886,0.000553886
2,127.635,0.69066,1.55831,0.88137,1.18369,0,0.77967,0.73036,0.80646,0.59128,0.78008,0.72542,0.79528,0.54897,0.88505,1.9032,1.05445,1.36097,0,0.00107294,0.00107294,0.00107294
3,184.408,0.70491,1.56943,0.81007,1.19227,0,0.80488,0.75127,0.81441,0.59772,0.80017,0.73593,0.79378,0.52991,0.88957,2.29299,1.0029,1.41996,0,0.00155531,0.00155531,0.00155531
4,241.416,0.68158,1.56627,0.75272,1.17972,0,0.84111,0.72349,0.81482,0.60125,0.83558,0.71656,0.80377,0.54699,0.87283,1.91217,1.03505,1.38214,0,0.00150197,0.00150197,0.00150197
5,298.427,0.65374,1.49651,0.71168,1.1635,0,0.8166,0.76961,0.83638,0.66137,0.81147,0.77211,0.82983,0.60363,0.74896,1.81889,0.83372,1.23533,0,0.00144696,0.00144696,0.00144696
6,355.449,0.62551,1.44348,0.6893,1.13784,0,0.85238,0.81419,0.87692,0.70687,0.85267,0.80643,0.87191,0.65244,0.71365,1.61767,0.78456,1.21303,0,0.00139195,0.00139195,0.00139195
7,412.225,0.60568,1.4069,0.6579,1.12794,0,0.87201,0.79634,0.89149,0.72934,0.87383,0.79159,0.88852,0.68465,0.67331,1.46486,0.71268,1.16732,0,0.00133693,0.00133693,0.00133693
8,468.695,0.59038,1.38019,0.63671,1.11873,0,0.86995,0.81231,0.89057,0.74117,0.88078,0.80983,0.8887,0.6894,0.6471,1.48865,0.70213,1.14923,0,0.00128192,0.00128192,0.00128192
9,525.555,0.57328,1.34545,0.61519,1.10365,0,0.88944,0.81107,0.89323,0.74537,0.8896,0.81262,0.89009,0.69967,0.63263,1.419,0.68276,1.10165,0,0.00122691,0.00122691,0.00122691
10,582.9,0.56616,1.34202,0.60644,1.10351,0,0.88938,0.8055,0.89703,0.74198,0.88337,0.80365,0.89349,0.68911,0.63077,1.39606,0.67644,1.1286,0,0.0011719,0.0011719,0.0011719
11,639.914,0.55455,1.30728,0.59855,1.09252,0,0.89345,0.81973,0.89958,0.75458,0.89851,0.81307,0.89643,0.70527,0.59889,1.37147,0.64108,1.08588,0,0.00111689,0.00111689,0.00111689
12,697.035,0.54025,1.2608,0.57972,1.08468,0,0.88568,0.82931,0.90894,0.76951,0.88535,0.829,0.90541,0.72332,0.58733,1.32211,0.6347,1.06761,0,0.00106188,0.00106188,0.00106188
13,753.938,0.53246,1.25709,0.56749,1.07858,0,0.86996,0.83519,0.90353,0.76609,0.87827,0.83488,0.90403,0.72464,0.58621,1.28375,0.67301,1.07142,0,0.00100687,0.00100687,0.00100687
